year,month,day,location,date_new,min_temp,max_temp,range
2022,10,11,KanewaiFishpondLedgeEdgeNorfolk,2022-10-11,28.916,32.872,3.9559999999999995
2022,10,12,KanewaiFishpondLedgeEdgeNorfolk,2022-10-12,28.518,30.849,2.3309999999999995
2022,10,13,KanewaiFishpondLedgeEdgeNorfolk,2022-10-13,27.727,32.201,4.474
2022,10,14,KanewaiFishpondLedgeEdgeNorfolk,2022-10-14,26.646,31.944,5.297999999999998
2022,10,15,KanewaiFishpondLedgeEdgeNorfolk,2022-10-15,25.089,31.128,6.0390000000000015
2022,10,16,KanewaiFishpondLedgeEdgeNorfolk,2022-10-16,24.702,29.389,4.686999999999998
2022,10,17,KanewaiFishpondLedgeEdgeNorfolk,2022-10-17,24.871,30.041,5.170000000000002
2022,10,18,KanewaiFishpondLedgeEdgeNorfolk,2022-10-18,25.355,30.697,5.341999999999999
2022,10,19,KanewaiFishpondLedgeEdgeNorfolk,2022-10-19,25.671,29.165,3.4939999999999998
2022,10,20,KanewaiFishpondLedgeEdgeNorfolk,2022-10-20,24.195,30.343,6.148
2022,10,21,KanewaiFishpondLedgeEdgeNorfolk,2022-10-21,26.622,32.587,5.965000000000003
2022,10,22,KanewaiFishpondLedgeEdgeNorfolk,2022-10-22,26.304,32.021,5.717000000000002
2022,10,23,KanewaiFishpondLedgeEdgeNorfolk,2022-10-23,25.137,30.041,4.904
2022,10,24,KanewaiFishpondLedgeEdgeNorfolk,2022-10-24,24.895,29.991,5.096
2022,10,25,KanewaiFishpondLedgeEdgeNorfolk,2022-10-25,25.089,29.315,4.226000000000003
2022,10,26,KanewaiFishpondLedgeEdgeNorfolk,2022-10-26,24.895,29.065,4.170000000000002
2022,10,27,KanewaiFishpondLedgeEdgeNorfolk,2022-10-27,24.243,28.221,3.9780000000000015
2022,10,28,KanewaiFishpondLedgeEdgeNorfolk,2022-10-28,23.905,28.122,4.216999999999999
2022,10,29,KanewaiFishpondLedgeEdgeNorfolk,2022-10-29,24.267,28.394,4.126999999999999
2022,10,30,KanewaiFishpondLedgeEdgeNorfolk,2022-10-30,24.05,28.468,4.417999999999999
2022,10,31,KanewaiFishpondLedgeEdgeNorfolk,2022-10-31,23.857,28.171,4.314
2022,11,01,KanewaiFishpondLedgeEdgeNorfolk,2022-11-01,23.16,28.196,5.036000000000001
2022,11,02,KanewaiFishpondLedgeEdgeNorfolk,2022-11-02,23.665,26.867,3.2020000000000017
2022,11,03,KanewaiFishpondLedgeEdgeNorfolk,2022-11-03,23.641,28.642,5.001000000000001
2022,11,04,KanewaiFishpondLedgeEdgeNorfolk,2022-11-04,25.186,28.99,3.8039999999999985
2022,11,05,KanewaiFishpondLedgeEdgeNorfolk,2022-11-05,24.798,28.717,3.9190000000000005
2022,11,06,KanewaiFishpondLedgeEdgeNorfolk,2022-11-06,24.074,28.245,4.170999999999999
2022,11,07,KanewaiFishpondLedgeEdgeNorfolk,2022-11-07,24.243,28.023,3.780000000000001
2022,11,08,KanewaiFishpondLedgeEdgeNorfolk,2022-11-08,24.026,27.85,3.8240000000000016
2022,11,09,KanewaiFishpondLedgeEdgeNorfolk,2022-11-09,23.112,27.358,4.246000000000002
2022,11,10,KanewaiFishpondLedgeEdgeNorfolk,2022-11-10,22.441,27.308,4.867000000000001
2022,11,11,KanewaiAuwaiMakaiSideFootBridge,2022-11-11,21.748,23.4,1.6519999999999975
2022,11,11,KanewaiFishpondLedgeEdgeNorfolk,2022-11-11,21.246,26.134,4.888000000000002
2022,11,11,KanewaiFishpondShadeUnderXmasBerry,2022-11-11,21.079,24.895,3.815999999999999
2022,11,11,KanewaiSpringLedge,2022-11-11,22.8,23.184,0.38400000000000034
2022,11,12,KanewaiAuwaiMakaiSideFootBridge,2022-11-12,21.795,23.497,1.7019999999999982
2022,11,12,KanewaiFishpondLedgeEdgeNorfolk,2022-11-12,20.507,26.207,5.699999999999999
2022,11,12,KanewaiFishpondShadeUnderXmasBerry,2022-11-12,20.246,25.258,5.0120000000000005
2022,11,12,KanewaiSpringLedge,2022-11-12,22.633,23.304,0.6709999999999994
2022,11,13,KanewaiAuwaiMakaiSideFootBridge,2022-11-13,22.537,23.545,1.0080000000000027
2022,11,13,KanewaiFishpondLedgeEdgeNorfolk,2022-11-13,22.178,26.549,4.370999999999999
2022,11,13,KanewaiFishpondShadeUnderXmasBerry,2022-11-13,22.393,25.793,3.3999999999999986
2022,11,13,KanewaiSpringLedge,2022-11-13,22.872,23.352,0.4800000000000004
2022,11,14,KanewaiAuwaiMakaiSideFootBridge,2022-11-14,22.561,23.641,1.0799999999999983
2022,11,14,KanewaiFishpondLedgeEdgeNorfolk,2022-11-14,22.226,27.308,5.082000000000001
2022,11,14,KanewaiFishpondShadeUnderXmasBerry,2022-11-14,22.489,26.573,4.084
2022,11,14,KanewaiSpringLedge,2022-11-14,22.92,23.352,0.4319999999999986
2022,11,15,KanewaiAuwaiMakaiSideFootBridge,2022-11-15,21.915,23.328,1.4130000000000003
2022,11,15,KanewaiFishpondLedgeEdgeNorfolk,2022-11-15,21.581,26.109,4.528000000000002
2022,11,15,KanewaiFishpondShadeUnderXmasBerry,2022-11-15,21.724,25.525,3.8009999999999984
2022,11,15,KanewaiSpringLedge,2022-11-15,22.753,23.088,0.33500000000000085
2022,11,16,KanewaiAuwaiMakaiSideFootBridge,2022-11-16,21.915,23.28,1.365000000000002
2022,11,16,KanewaiFishpondLedgeEdgeNorfolk,2022-11-16,21.27,26.744,5.474
2022,11,16,KanewaiFishpondShadeUnderXmasBerry,2022-11-16,21.7,25.525,3.8249999999999993
2022,11,16,KanewaiSpringLedge,2022-11-16,22.561,23.088,0.527000000000001
