Date.x,Time.x,Temp.x,mV,pH,Date_Time,Date.y,Time.y,Dissolved_Oxygen_Concentration,Temp.y,Date,Time,Low_Range_micro_siemens_per_centimeter,High_Range_micro_siemens_per_centimeter,Temp_Celcius
06-10-22,10:00:00,26.72,-24.19,7.41,2022-10-06T10:00:00Z,06-10-22,10:00:00,0.68,30.66,6/10/22,10:00:00,2594.6,2611.4,27.12
06-10-22,10:10:00,26.48,-22.28,7.37,2022-10-06T10:10:00Z,06-10-22,10:10:00,-0.02,27.1,6/10/22,10:10:00,2575.6,2593.5,26.69
06-10-22,10:20:00,26.33,-21.28,7.36,2022-10-06T10:20:00Z,06-10-22,10:20:00,-0.03,26.38,6/10/22,10:20:00,2568.5,2586.1,26.59
06-10-22,10:30:00,26.3,-20.69,7.35,2022-10-06T10:30:00Z,06-10-22,10:30:00,-0.03,26.26,6/10/22,10:30:00,2574.4,2588.6,26.61
06-10-22,10:40:00,26.33,-20.34,7.34,2022-10-06T10:40:00Z,06-10-22,10:40:00,-0.03,26.24,6/10/22,10:40:00,2578.6,2592.3,26.69
06-10-22,10:50:00,26.35,-21.19,7.36,2022-10-06T10:50:00Z,06-10-22,10:50:00,-0.02,26.3,6/10/22,10:50:00,2577.4,2594.1,26.71
06-10-22,11:00:00,26.4,-20.75,7.35,2022-10-06T11:00:00Z,06-10-22,11:00:00,-0.01,26.34,6/10/22,11:00:00,2582.1,2597.8,26.77
06-10-22,11:10:00,26.38,-20.86,7.35,2022-10-06T11:10:00Z,06-10-22,11:10:00,-0.02,26.36,6/10/22,11:10:00,2580.3,2596,26.73
06-10-22,11:20:00,26.45,-20.58,7.35,2022-10-06T11:20:00Z,06-10-22,11:20:00,0,26.36,6/10/22,11:20:00,2585.1,2601.5,26.81
06-10-22,11:30:00,26.4,-20.5,7.34,2022-10-06T11:30:00Z,06-10-22,11:30:00,-0.01,26.36,6/10/22,11:30:00,2584.5,2599.7,26.76
06-10-22,11:40:00,26.45,-20.91,7.35,2022-10-06T11:40:00Z,06-10-22,11:40:00,0,26.36,6/10/22,11:40:00,2586.9,2601.5,26.75
06-10-22,11:50:00,26.48,-20.55,7.35,2022-10-06T11:50:00Z,06-10-22,11:50:00,0.01,26.38,6/10/22,11:50:00,2588.6,2604,26.8
06-10-22,12:00:00,26.48,-20.83,7.35,2022-10-06T12:00:00Z,06-10-22,12:00:00,0,26.38,6/10/22,12:00:00,2594,2608.3,26.82
06-10-22,12:10:00,26.5,-20.8,7.35,2022-10-06T12:10:00Z,06-10-22,12:10:00,-0.02,26.38,6/10/22,12:10:00,2593.4,2609.5,26.82
06-10-22,12:20:00,26.5,-21.95,7.37,2022-10-06T12:20:00Z,06-10-22,12:20:00,0,26.4,6/10/22,12:20:00,2598.1,2612.6,26.85
06-10-22,12:30:00,26.5,-21.81,7.37,2022-10-06T12:30:00Z,06-10-22,12:30:00,-0.02,26.42,6/10/22,12:30:00,2595.2,2612.6,26.86
06-10-22,12:40:00,26.55,-21.74,7.37,2022-10-06T12:40:00Z,06-10-22,12:40:00,0,26.44,6/10/22,12:40:00,2602.3,2620.7,26.91
06-10-22,12:50:00,26.6,-21.14,7.36,2022-10-06T12:50:00Z,06-10-22,12:50:00,0.03,26.48,6/10/22,12:50:00,2610,2625.6,26.96
06-10-22,13:00:00,26.62,-21.45,7.36,2022-10-06T13:00:00Z,06-10-22,13:00:00,0,26.46,6/10/22,13:00:00,2609.4,2626.8,26.93
06-10-22,13:10:00,26.62,-21.74,7.37,2022-10-06T13:10:00Z,06-10-22,13:10:00,0,26.46,6/10/22,13:10:00,2614.8,2631.8,26.83
06-10-22,13:20:00,26.77,-23.14,7.39,2022-10-06T13:20:00Z,06-10-22,13:20:00,0,26.48,6/10/22,13:20:00,2621.9,2638,27.04
06-10-22,13:30:00,26.74,-23.47,7.39,2022-10-06T13:30:00Z,06-10-22,13:30:00,0.03,26.52,6/10/22,13:30:00,2624.3,2641.7,27.08
06-10-22,13:40:00,26.7,-23.22,7.39,2022-10-06T13:40:00Z,06-10-22,13:40:00,0.11,26.54,6/10/22,13:40:00,2618.9,2636.7,26.99
06-10-22,13:50:00,26.67,-23.81,7.4,2022-10-06T13:50:00Z,06-10-22,13:50:00,0.14,26.56,6/10/22,13:50:00,2626.7,2644.1,27.12
06-10-22,14:00:00,26.84,-23.97,7.4,2022-10-06T14:00:00Z,06-10-22,14:00:00,0.26,26.58,6/10/22,14:00:00,2633.8,2650.3,27.33
06-10-22,14:10:00,26.89,-24.97,7.42,2022-10-06T14:10:00Z,06-10-22,14:10:00,0.31,26.6,6/10/22,14:10:00,2623.1,2639.2,27.23
06-10-22,14:20:00,26.96,-25.28,7.42,2022-10-06T14:20:00Z,06-10-22,14:20:00,0.32,26.58,6/10/22,14:20:00,2612.4,2628.7,27.09
06-10-22,14:30:00,26.62,-24.91,7.42,2022-10-06T14:30:00Z,06-10-22,14:30:00,0.12,26.54,6/10/22,14:30:00,2593.4,2608.3,26.91
