#,"Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970122, SEN S/N: 20970122)",Coupler Detached (LGR S/N: 20970122),Coupler Attached (LGR S/N: 20970122),Host Connected (LGR S/N: 20970122),Stopped (LGR S/N: 20970122),End Of File (LGR S/N: 20970122)
1,09/13/21 13:00:00,33.365,Logged,,,,
2,09/13/21 13:10:00,35.235,,,,,
3,09/13/21 13:20:00,32.924,,,,,
4,09/13/21 13:30:00,33.626,,,,,
5,09/13/21 13:40:00,31.026,,,,,
6,09/13/21 13:50:00,28.023,,,,,
7,09/13/21 14:00:00,27.899,,,,,
8,09/13/21 14:10:00,27.949,,,,,
9,09/13/21 14:20:00,28.023,,,,,
10,09/13/21 14:30:00,28.097,,,,,
11,09/13/21 14:40:00,28.147,,,,,
12,09/13/21 14:50:00,28.196,,,,,
13,09/13/21 15:00:00,28.221,,,,,
14,09/13/21 15:10:00,28.295,,,,,
15,09/13/21 15:20:00,28.270,,,,,
16,09/13/21 15:30:00,28.295,,,,,
17,09/13/21 15:40:00,28.369,,,,,
18,09/13/21 15:50:00,28.419,,,,,
19,09/13/21 16:00:00,28.419,,,,,
20,09/13/21 16:10:00,28.394,,,,,
21,09/13/21 16:20:00,28.320,,,,,
22,09/13/21 16:30:00,28.270,,,,,
23,09/13/21 16:40:00,28.221,,,,,
24,09/13/21 16:50:00,28.196,,,,,
25,09/13/21 17:00:00,28.122,,,,,
26,09/13/21 17:10:00,28.048,,,,,
27,09/13/21 17:20:00,27.899,,,,,
28,09/13/21 17:30:00,27.825,,,,,
29,09/13/21 17:40:00,27.727,,,,,
30,09/13/21 17:50:00,27.653,,,,,
31,09/13/21 18:00:00,27.579,,,,,
32,09/13/21 18:10:00,27.505,,,,,
33,09/13/21 18:20:00,27.431,,,,,
34,09/13/21 18:30:00,27.333,,,,,
35,09/13/21 18:40:00,27.259,,,,,
36,09/13/21 18:50:00,27.186,,,,,
37,09/13/21 19:00:00,27.087,,,,,
38,09/13/21 19:10:00,27.038,,,,,
39,09/13/21 19:20:00,26.940,,,,,
40,09/13/21 19:30:00,26.891,,,,,
41,09/13/21 19:40:00,26.744,,,,,
42,09/13/21 19:50:00,26.622,,,,,
43,09/13/21 20:00:00,26.549,,,,,
44,09/13/21 20:10:00,26.475,,,,,
45,09/13/21 20:20:00,26.402,,,,,
46,09/13/21 20:30:00,26.329,,,,,
47,09/13/21 20:40:00,26.280,,,,,
48,09/13/21 20:50:00,26.207,,,,,
49,09/13/21 21:00:00,26.158,,,,,
50,09/13/21 21:10:00,26.085,,,,,
51,09/13/21 21:20:00,26.012,,,,,
52,09/13/21 21:30:00,25.939,,,,,
53,09/13/21 21:40:00,25.841,,,,,
54,09/13/21 21:50:00,25.793,,,,,
55,09/13/21 22:00:00,25.768,,,,,
56,09/13/21 22:10:00,25.744,,,,,
57,09/13/21 22:20:00,25.720,,,,,
58,09/13/21 22:30:00,25.695,,,,,
59,09/13/21 22:40:00,25.647,,,,,
60,09/13/21 22:50:00,25.598,,,,,
61,09/13/21 23:00:00,25.574,,,,,
62,09/13/21 23:10:00,25.525,,,,,
63,09/13/21 23:20:00,25.477,,,,,
64,09/13/21 23:30:00,25.453,,,,,
65,09/13/21 23:40:00,25.428,,,,,
66,09/13/21 23:50:00,25.380,,,,,
67,09/14/21 00:00:00,25.380,,,,,
68,09/14/21 00:10:00,25.380,,,,,
69,09/14/21 00:20:00,25.380,,,,,
70,09/14/21 00:30:00,25.380,,,,,
71,09/14/21 00:40:00,25.380,,,,,
72,09/14/21 00:50:00,25.331,,,,,
73,09/14/21 01:00:00,25.307,,,,,
74,09/14/21 01:10:00,25.283,,,,,
75,09/14/21 01:20:00,25.283,,,,,
76,09/14/21 01:30:00,25.258,,,,,
77,09/14/21 01:40:00,25.234,,,,,
78,09/14/21 01:50:00,25.210,,,,,
79,09/14/21 02:00:00,25.210,,,,,
80,09/14/21 02:10:00,25.186,,,,,
81,09/14/21 02:20:00,25.162,,,,,
82,09/14/21 02:30:00,25.162,,,,,
83,09/14/21 02:40:00,25.162,,,,,
84,09/14/21 02:50:00,25.137,,,,,
85,09/14/21 03:00:00,25.113,,,,,
86,09/14/21 03:10:00,25.089,,,,,
87,09/14/21 03:20:00,25.065,,,,,
88,09/14/21 03:30:00,25.040,,,,,
89,09/14/21 03:40:00,24.992,,,,,
90,09/14/21 03:50:00,24.992,,,,,
91,09/14/21 04:00:00,24.992,,,,,
92,09/14/21 04:10:00,24.968,,,,,
93,09/14/21 04:20:00,24.944,,,,,
94,09/14/21 04:30:00,24.919,,,,,
95,09/14/21 04:40:00,24.944,,,,,
96,09/14/21 04:50:00,24.992,,,,,
97,09/14/21 05:00:00,24.919,,,,,
98,09/14/21 05:10:00,24.919,,,,,
99,09/14/21 05:20:00,24.944,,,,,
100,09/14/21 05:30:00,24.895,,,,,
101,09/14/21 05:40:00,24.919,,,,,
102,09/14/21 05:50:00,24.871,,,,,
103,09/14/21 06:00:00,24.968,,,,,
104,09/14/21 06:10:00,25.016,,,,,
105,09/14/21 06:20:00,25.113,,,,,
106,09/14/21 06:30:00,25.089,,,,,
107,09/14/21 06:40:00,25.137,,,,,
108,09/14/21 06:50:00,25.162,,,,,
109,09/14/21 07:00:00,25.186,,,,,
110,09/14/21 07:10:00,25.186,,,,,
111,09/14/21 07:20:00,25.307,,,,,
112,09/14/21 07:30:00,25.428,,,,,
113,09/14/21 07:40:00,25.525,,,,,
114,09/14/21 07:50:00,25.574,,,,,
115,09/14/21 08:00:00,25.671,,,,,
116,09/14/21 08:10:00,25.695,,,,,
117,09/14/21 08:20:00,25.720,,,,,
118,09/14/21 08:30:00,25.841,,,,,
119,09/14/21 08:40:00,25.914,,,,,
120,09/14/21 08:50:00,25.987,,,,,
121,09/14/21 09:00:00,26.085,,,,,
122,09/14/21 09:10:00,26.036,,,,,
123,09/14/21 09:20:00,26.036,,,,,
124,09/14/21 09:30:00,26.012,,,,,
125,09/14/21 09:40:00,26.012,,,,,
126,09/14/21 09:50:00,26.036,,,,,
127,09/14/21 10:00:00,26.061,,,,,
128,09/14/21 10:10:00,26.061,,,,,
129,09/14/21 10:20:00,26.085,,,,,
130,09/14/21 10:30:00,26.353,,,,,
131,09/14/21 10:40:00,26.451,,,,,
132,09/14/21 10:50:00,26.451,,,,,
133,09/14/21 11:00:00,26.549,,,,,
134,09/14/21 11:10:00,26.622,,,,,
135,09/14/21 11:20:00,26.598,,,,,
136,09/14/21 11:30:00,26.573,,,,,
137,09/14/21 11:40:00,26.793,,,,,
138,09/14/21 11:50:00,26.867,,,,,
139,09/14/21 12:00:00,26.940,,,,,
140,09/14/21 12:10:00,26.989,,,,,
141,09/14/21 12:20:00,27.136,,,,,
142,09/14/21 12:30:00,27.063,,,,,
143,09/14/21 12:40:00,27.186,,,,,
144,09/14/21 12:50:00,27.333,,,,,
