#,"Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970110, SEN S/N: 20970110)",Coupler Detached (LGR S/N: 20970110),Coupler Attached (LGR S/N: 20970110),Host Connected (LGR S/N: 20970110),Stopped (LGR S/N: 20970110),End Of File (LGR S/N: 20970110)
1,09/13/21 13:00:00,31.868,Logged,,,,
2,09/13/21 13:10:00,33.521,,,,,
3,09/13/21 13:20:00,32.510,,,,,
4,09/13/21 13:30:00,31.408,,,,,
5,09/13/21 13:40:00,30.091,,,,,
6,09/13/21 13:50:00,28.245,,,,,
7,09/13/21 14:00:00,27.924,,,,,
8,09/13/21 14:10:00,27.974,,,,,
9,09/13/21 14:20:00,28.048,,,,,
10,09/13/21 14:30:00,28.122,,,,,
11,09/13/21 14:40:00,28.196,,,,,
12,09/13/21 14:50:00,28.270,,,,,
13,09/13/21 15:00:00,28.320,,,,,
14,09/13/21 15:10:00,28.394,,,,,
15,09/13/21 15:20:00,28.419,,,,,
16,09/13/21 15:30:00,28.468,,,,,
17,09/13/21 15:40:00,28.518,,,,,
18,09/13/21 15:50:00,28.543,,,,,
19,09/13/21 16:00:00,28.568,,,,,
20,09/13/21 16:10:00,28.543,,,,,
21,09/13/21 16:20:00,28.543,,,,,
22,09/13/21 16:30:00,28.493,,,,,
23,09/13/21 16:40:00,28.419,,,,,
24,09/13/21 16:50:00,28.320,,,,,
25,09/13/21 17:00:00,28.270,,,,,
26,09/13/21 17:10:00,28.171,,,,,
27,09/13/21 17:20:00,28.097,,,,,
28,09/13/21 17:30:00,27.949,,,,,
29,09/13/21 17:40:00,27.875,,,,,
30,09/13/21 17:50:00,27.751,,,,,
31,09/13/21 18:00:00,27.653,,,,,
32,09/13/21 18:10:00,27.579,,,,,
33,09/13/21 18:20:00,27.481,,,,,
34,09/13/21 18:30:00,27.382,,,,,
35,09/13/21 18:40:00,27.333,,,,,
36,09/13/21 18:50:00,27.259,,,,,
37,09/13/21 19:00:00,27.186,,,,,
38,09/13/21 19:10:00,27.112,,,,,
39,09/13/21 19:20:00,27.038,,,,,
40,09/13/21 19:30:00,26.965,,,,,
41,09/13/21 19:40:00,26.891,,,,,
42,09/13/21 19:50:00,26.793,,,,,
43,09/13/21 20:00:00,26.695,,,,,
44,09/13/21 20:10:00,26.622,,,,,
45,09/13/21 20:20:00,26.549,,,,,
46,09/13/21 20:30:00,26.451,,,,,
47,09/13/21 20:40:00,26.378,,,,,
48,09/13/21 20:50:00,26.304,,,,,
